ACTIVER;LIAI;DESIGNATION;;SECT;TEINT;TEINT2;ISO;LONG;LONG CP;Long_Add;Long_Add2;COUPE;POS;POS-OUT;FA;APP;VOI;Ref Connecteur;Ref Connecteur_Four;Ref Clip;Ref Clip Four;PRECO;Ref Joint;Ref Joint Four;POS2;POS-OUT2;FA2;APP2;VOI2;Ref Connecteur2;Ref Connecteur_Four2;Ref Clip2;Ref Clip Four2;PRECO2;Ref Joint2;Ref Joint Four2;PRECOG;OPTION;CritŠres sp‚cifiques;Commentaires
0;3DM;MASSE INJECTEUR CYL 5;127;0.75;VE;;T6;;;;;;;;;120.AB;L4;;;;;;;;;;;197.AA;1;;;;;;;;;ALL;;
-1;;;;0.5;VE;;;;;;;;;I13;74;;;EP6;;;;;;;;E13;18;;;8200679260;;;;;;;;ALL;;
-1;;;;0.5;VE;;;;;;;;;I13;74;;;EP6;;;;;;;;C9;58;;;243427Y003;;;;;;;;ALL;;
-1;;;;3;VE;;;;;;;;;I13;74;;;EP6;;;;;;;;J14;48;;;8200351176;;;;;;;;ALL;;
-1;;MASSE DEBIMETRE;;0.5;VE;;;1055;1355;;;;;E13;18;;;8200679260;;;;;;;;C11;61;;;243427Y006;;;;;;;;ALL;;
-1;;RECOPIE POTENTIOMETRE EGR;;0.5;VE;;;1805;2105;;;;;E13;19;;;8200679263;;;;;;;;G3;29;;;7703297591;;;;DORE;;;;ALL;;
-1;;TEMPERATURE CARBURANT;;0.5;VE;;;1190;1490;;;;;E13;18;;;8200679260;;;;;;;;E6;7;;;8200104784;;;;;;;;ALL;;
-1;;+ ALM PAR RL PRTN ELMS INJN;;1;VE;;;940;1240;;;;;G12;62;;;EP10;;;;;;;;F7;10;;;8200104801;;;;DORE;;;;ALL;;
-1;;+ ALM PAR RL PRTN ELMS INJN;;2.5;VE;;;335;635;;;;;G12;62;;;EP10;;;;;;;;F14;26;;;24342AR443;;;;;;;;ALL;;
0;3FB1;+ ALM PAR RL PRTN ELMS INJN;42;0.75;VE;;A3Z;1270;1570;;;;;H5;24;E3FB1-1;G;7703297277;;;;;;;;G12;62;1301.AA;2;EP10;;;;;;;;ALL;;
-1;;+ ALM PAR RL PRTN ELMS INJN;;0.75;VE;;;1060;1360;;;;;G12;62;;;EP10;;;;;;;;C8;17;;;8200104797;;;;DORE;;;;ALL;;
-1;;+ ALM PAR RL PRTN ELMS INJN;;1.5;VE;;;375;675;;;;;E13;18;;;8200679260;;;;;;;;G12;62;;;EP10;;;;;;;;ALL;;
0;3FB2;+ ALM PAR RL PRTN ELMS INJN;45;0.75;VE;;A3Z;1180;1480;;;;;G13;63;E3FB2-1;G;EP8;;;;;;;;C9;58;746.AA;1;243427Y003;;;;;;;;ALL;;
-1;;+ ALM PAR RL PRTN ELMS INJN;;2.5;VE;;;265;565;;;;;G13;63;;;EP8;;;;;;;;F14;26;;;24342AR443;;;;;;;;ALL;;
